value	label
FPA.U	FPA.U
FPA.W	FPA.W
FPAC	FPAC
FPF	FPF
FPH	FPH
FPI	FPI
FPI-B	FPI-B
FPL	FPL
FR	FR
FRA	FRA
FRC	FRC
FRC-F	FRC-F
FRC-G	FRC-G
FRC-H	FRC-H
FRC-I	FRC-I
FRC-J	FRC-J
FRO	FRO
FRT	FRT
FRT-C	FRT-C
FSB	FSB
FSD	FSD
FSK	FSK
FSKR	FSKR
FSLF	FSLF
FSLY	FSLY
FSM	FSM
FSS	FSS
FT	FT
FTA-A	FTA-A
FTA-B	FTA-B
FTAI	FTAI
FTCH	FTCH
FTI	FTI
FTK	FTK
FTS	FTS
FTV	FTV
FTV-A	FTV-A
FUL	FUL
FUN	FUN
FVA.U	FVA.U
FVAC	FVAC
FVRR	FVRR
G	G
GAB	GAB
GAB-G	GAB-G
GAB-H	GAB-H
GAB-J	GAB-J
GAB-K	GAB-K
GAM	GAM
GAM-B	GAM-B
GATX	GATX
GBAB	GBAB
GBL	GBL
GBX	GBX
GCAP	GCAP
GCI	GCI
GCO	GCO
GCP	GCP
GCV	GCV
GD	GD
GDDY	GDDY
GDL	GDL
GDL-C	GDL-C
GDO	GDO
GDOT	GDOT
GDV	GDV
GDV-A	GDV-A
GDV-G	GDV-G
GDV-H	GDV-H
GE	GE
GEF	GEF
GEF.B	GEF.B
GEL	GEL
GEN	GEN
GEO	GEO
GER	GER
GES	GES
GF	GF
GFF	GFF
GFI	GFI
GFL	GFL
GFLU	GFLU
GFY	GFY
GGB	GGB
GGG	GGG
GGM	GGM
GGT	GGT
GGT-E	GGT-E
GGT-G	GGT-G
GGZ	GGZ
GGZ-A	GGZ-A
GHC	GHC
GHG	GHG
GHL	GHL
GHM	GHM
GHY	GHY
GIB	GIB
GIK.U	GIK.U
GIL	GIL
GIM	GIM
GIS	GIS
GIX	GIX
GIX.P	GIX.P
GIX.U	GIX.U
GIX.W	GIX.W
GJH	GJH
GJO	GJO
GJP	GJP
GJR	GJR
GJS	GJS
GJT	GJT
GKOS	GKOS
GL	GL
GL-C	GL-C
GLE.U	GLE.U
GLE.W	GLE.W
GLEO	GLEO
GLO-A	GLO-A
GLO-B	GLO-B
GLO-C	GLO-C
GLO-G	GLO-G
GLOB	GLOB
GLOG	GLOG
GLOP	GLOP
GLP	GLP
GLP-A	GLP-A
GLT	GLT
GLW	GLW
GM	GM
GME	GME
GMED	GMED
GMR-A	GMR-A
GMRE	GMRE
GMS	GMS
GMTA	GMTA
GMZ	GMZ
GNC	GNC
GNE	GNE
GNE-A	GNE-A
GNK	GNK
GNL	GNL
GNL-A	GNL-A
GNL-B	GNL-B
GNRC	GNRC
GNT	GNT
GNT-A	GNT-A
GNW	GNW
GOF	GOF
GOL	GOL
GOLD	GOLD
GOLF	GOLF
GOOS	GOOS
GPC	GPC
GPI	GPI
GPJA	GPJA
GPK	GPK
GPM	GPM
GPMT	GPMT
GPN	GPN
GPRK	GPRK
GPS	GPS
GPX	GPX
GRA	GRA
GRA.U	GRA.U
GRA.W	GRA.W
GRAF	GRAF
GRAM	GRAM
GRC	GRC
GRP.U	GRP.U
GRUB	GRUB
GRX	GRX
GRX-B	GRX-B
GS	GS
GS-A	GS-A
GS-C	GS-C
GS-D	GS-D
GS-J	GS-J
GS-K	GS-K
GS-N	GS-N
GSBD	GSBD
GSH	GSH
GSK	GSK
GSL	GSL
GSL-B	GSL-B
GSLD	GSLD
GSX	GSX
GTES	GTES
GTN	GTN
GTN.A	GTN.A
GTS	GTS
GTT	GTT
GTX	GTX
GTY	GTY
GUT	GUT
GUT-A	GUT-A
GUT-C	GUT-C
GVA	GVA
GWB	GWB
GWRE	GWRE
GWW	GWW
GYC	GYC
H	H
HAE	HAE
HAL	HAL
HASI	HASI
HBB	HBB
HBI	HBI
HBM	HBM
HCA	HCA
HCC	HCC
HCFT	HCFT
HCHC	HCHC
HCI	HCI
HCR	HCR
HCXY	HCXY
HCXZ	HCXZ
HD	HD
HDB	HDB
HE	HE
HEI	HEI
HEI.A	HEI.A
HEP	HEP
HEQ	HEQ
HES	HES
HESM	HESM
HEXO	HEXO
HFC	HFC
HFR-A	HFR-A
HFRO	HFRO
HGH	HGH
HGLB	HGLB
HGV	HGV
HHC	HHC
HHS	HHS
HI	HI
HIE	HIE
HIG	HIG
HIG-G	HIG-G
HII	HII
HIL	HIL
HIO	HIO
HIW	HIW
HIX	HIX
HKIB	HKIB
HL	HL
HL-B	HL-B
HLF	HLF
HLI	HLI
HLT	HLT
HLX	HLX
HMC	HMC
HMI	HMI
HML-A	HML-A
HMLP	HMLP
HMN	HMN
HMY	HMY
HNGR	HNGR
HNI	HNI
HNP	HNP
HOG	HOG
HOME	HOME
HON	HON
HOV	HOV
HP	HP
HPE	HPE
HPF	HPF
HPI	HPI
HPP	HPP
HPQ	HPQ
HPR	HPR
HPS	HPS
HQH	HQH
HQL	HQL
HR	HR
HRB	HRB
HRC	HRC
HRI	HRI
HRL	HRL
HRTG	HRTG
HSB-A	HSB-A
HSBC	HSBC
HSC	HSC
HST	HST
HSY	HSY
HT	HT
HT-C	HT-C
HT-D	HT-D
HT-E	HT-E
HTA	HTA
HTD	HTD
HTFA	HTFA
HTGC	HTGC
HTH	HTH
HTY	HTY
HTZ	HTZ
HUBB	HUBB
HUBS	HUBS
HUD	HUD
HUM	HUM
HUN	HUN
HUYA	HUYA
HVT	HVT
HVT.A	HVT.A
HWM	HWM
HXL	HXL
HY	HY
HYB	HYB
HYI	HYI
HYT	HYT
HZN	HZN
HZO	HZO
IAA	IAA
IAE	IAE
IAG	IAG
IBA	IBA
IBM	IBM
IBN	IBN
IBP	IBP
ICD	ICD
ICE	ICE
ICL	ICL
IDA	IDA
IDE	IDE
